Drug ID	Drug Name	CAS Number	Chemical Name	New Molecular Entity	Drug Interactions	Comparative Efficacy	Highest Development Phase	Indication	Molecular Formula	Mechanism Of Action	Organisation	Pharmacodynamic Characteristics	Route Of Administration	Route Of Elimination	Pharmacokinetic Characteristics	Adverse Events	Therapeutic Class (EphMRA)	Therapeutic Class (WHO)	Synonyms/Brand Names	Antimicrobial Activity	Immunogenicity	Last Significant Update Date	Therapeutic Area	Orphan Designation	License Availability	Brands	On Fastrack	Fastrack country	On PRIME	PRIME country	Biomarkers-Inclusion	Biomarkers-Exclusion	Biomarkers-Outcome Measure	Biomarkers-Safety	Biomarkers-not specified	URL
800048631	Research programme: cannabinoid therapeutics - GB Sciences			No			Preclinical	"Parkinson's disease, Neuropathic pain, Cardiovascular disorders, Inflammation, Heart failure"		"TRPV1 receptor antagonists, Cannabinoid receptor CB1 inverse agonists, Cannabinoid receptor CB2 inverse agonists, Serotonin 1 receptor modulators, Transient receptor potential channel modulators"	"Catalent Pharma Solutions (Originator), University of Hawaii (Originator), Catalent Pharma Solutions (Owner), University of Hawaii (Owner), Makai Biotechnology (Licensee), GB Sciences (Sub-licensee), CIBERSAM (Technology Provider), Universidad de Sevilla (Technology Provider), University of Cadiz (Technology Provider), Hawaii Community Foundation (Funder), National Institutes of Health (Funder), Chaminade University (Collaborator), Michigan State University (Collaborator), University of California at Los Angeles (Collaborator)"		"unspecified, PO"				"C1 (Cardiac Therapy), M1 (Anti-Inflammatory and Anti-Rheumatic Products), N2 (Analgesics), N4A (Anti-Parkinson Drugs)"	"C01 (Cardiac Therapy), M01 (Antiinflammatory and Antirheumatic Products), N02 (Analgesics), N04 (Anti-Parkinson Drugs)"	"BCTC Makai Biotechnology, Cannabisbased neuroprotective compounds GB Sciences, GBS101, GBS102, GBS103, TRPV1 inhibitors"			28/03/2021	"Heart Failure, Inflammation, Ischaemic Heart Disease, Pain, Parkinson's Disease and Movement Disorders, Rheumatic Disease, Vascular Disorders"		Makai Biotechnology |  | Unspecified |  | 02 Aug 2018		no		no							https://adis.springer.com/drugs/800048631?userId=52029392&bpIds=3004037004&checksum=736484befcd7016c96949d3e5509d4dfa457c610-1617045530464-016499febfd45e1d6b9b0eb5b09f8f2abadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800029997	AAT 008			Yes			Preclinical	"Cancer, Autoimmune disorders, Osteoarthritis, Inflammatory pain, Hypersensitivity, Psoriasis, Inflammatory bowel diseases, Acute pain, Contact dermatitis, Inflammation"		Prostaglandin E EP4 receptor antagonists	"Pfizer (Originator), Pfizer (Owner), AskAt (Licensee), Ikena Oncology (Sub-licensee), Ningbo NewBay Medical Technology (Sub-licensee)"		PO				"A7E (Intestinal Anti-Inflammatory Agents), D11A (Other Dermatological Preparations), D5B (Systemic Antipsoriasis Products), L1 (Antineoplastics), L4 (Immunosuppressants), M1 (Anti-Inflammatory and Anti-Rheumatic Products), N2 (Analgesics)"	"A07E (Intestinal Antiinflammatory Agents), D05B (Antipsoriatics for Systemic Use), D11A-X (Other dermatologicals), L01 (Antineoplastic Agents), L04 (Immunosuppressants), M01 (Antiinflammatory and Antirheumatic Products), N02 (Analgesics)"	"AAT008, RQ00000008"			28/03/2021	"Cancer, Immunological Disorders, Inflammation, Inflammatory Bowel Disorders, Pain, Rheumatic Disease, Skin Disorders"		AskAt |  | Unspecified |  | 04 Mar 2021		no		no							https://adis.springer.com/drugs/800029997?userId=52029392&bpIds=3004037004&checksum=c5faf028ef781a3b6c39aef5300e89579c3c2cd4-1617045530466-44a830a540c97a60dea3440d23762b2cbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800050874	Paracetamol - Neumentum	103-90-2	N-(4-Hydroxyphenyl)acetanilide	No			Preclinical	Pain	C8 H9 N O2	"Cyclo-oxygenase 2 inhibitors, Cytochrome P 450 enzyme system inhibitors, Prostaglandin receptor antagonists"	"Neumentum (Originator), Neumentum (Owner)"		"IV, PO"				"N2 (Analgesics), N2B (Non-Narcotics and Anti-Pyretics)"	"N02 (Analgesics), N02B-E01 (Paracetamol)"	"APAP analogues Neumentum, NTM 004, NTM 005"			26/03/2021	Pain				no		no							https://adis.springer.com/drugs/800050874?userId=52029392&bpIds=3004037004&checksum=a91cefcd4c4581ca067196e46e5f308608551c0d-1617045530467-9c78f384dcabcf1cbef98ec7f0136393badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800056279	NTM 006			Yes			Phase II	"Postoperative pain, Pain, Neuropathic pain"		Adenosine A3 receptor modulators	"Janssen (Originator), Janssen (Owner), Neumentum (Licensee), McNeil Consumer Pharmaceuticals (Collaborator)"		PO				"N2 (Analgesics), N2B (Non-Narcotics and Anti-Pyretics)"	"N02 (Analgesics), N02B (Other Analgesics and Antipyretics)"	"JNJ 10450232, JNJ232, NTM006"			26/03/2021	Pain				no		no							https://adis.springer.com/drugs/800056279?userId=52029392&bpIds=3004037004&checksum=ec48dcde9de6393be190e25f7f4621c9f42a531c-1617045530468-5dcdc9a096690e9d4a360d3832e1e74cbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800062204	Ketamine microneedle patch - PharmaTher	6740-88-1	2-(2-Chlorophenyl)-2-(methylamino)cyclohexanone	No			Phase I/II	"Parkinson's disease, Amyotrophic lateral sclerosis, Pain"	C13 H16 Cl N O	"AMPA receptor agonists, NMDA receptor antagonists"	"National Health Research Institutes (Originator), PharmaTher (Owner), Queens University Belfast (Technology Provider), University of Kansas (Technology Provider), University of Arizona (Collaborator)"		unspecified				"N2 (Analgesics), N4A (Anti-Parkinson Drugs), N7 (Other CNS Drugs)"	"N01A-X03 (Ketamine), N02 (Analgesics), N04 (Anti-Parkinson Drugs), N07 (Other Nervous System Drugs)"				26/03/2021	"Neurological Disorders, Pain, Parkinson's Disease and Movement Disorders"				no		no							https://adis.springer.com/drugs/800062204?userId=52029392&bpIds=3004037004&checksum=abea1f94b228ce5e9aab2f066c6a274bcf683e81-1617045530470-9a52c7a6a866593993a7b01f3225b3d1badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800035830	Centanafadine - Otsuka Pharmaceutical	924012-43-1	"3-Azabicyclo[3.1.0]hexane, 1-(2-naphthalenyl)-, (1R,5S)-"	Yes			Phase III	"Attention-deficit hyperactivity disorder, Major depressive disorder, Neuropathic pain"	C15 H15 N	"Adrenergic uptake inhibitors, Dopamine uptake inhibitors, Serotonin uptake inhibitors"	"Euthymics Bioscience (Originator), Otsuka Pharmaceutical (Owner)"		PO				"N2 (Analgesics), N6A (Anti-Depressants and Mood Stabilisers)"	"N02 (Analgesics), N06A (Antidepressants)"	"Centanafadine SR, CTN SR, EB1020, EB1020 SR"			26/03/2021	"Affective Disorders, Anxiety Disorders, Pain"				no		no							https://adis.springer.com/drugs/800035830?userId=52029392&bpIds=3004037004&checksum=c01611e79d2d43d1531eb3b9c75c371de2c9984e-1617045530471-640ee034cd6bee39a53a87746c60d40dbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800053941	DFN 10			Yes			No development reported (II)	Migraine		Undefined mechanism	"Promius Pharma (Originator), Promius Pharma (Owner)"		unspecified				N2C (Anti-Migraine Preparations)	N02C (Antimigraine Preparations)	DFN10			25/03/2021	Advances in the Treatment of Nausea and Migraine				no		no							https://adis.springer.com/drugs/800053941?userId=52029392&bpIds=3004037004&checksum=105068699fe59e84d5e49c6a336974ae6e6ea97f-1617045530472-dd171caa28ad6d2900405dc868d0fb08badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800034984	Rimegepant - Biohaven Pharmaceuticals	1374024-48-2	" (5S,6S,9R)-5-amino-6-(2,3_ difluorophenyl)-6,7,8,9-tetrahydro-5H-cyclohepta[b]pyridin-9-yl 4-(2-oxo-2,3-dihydro-1Himidazo[4,5-b]pyridin-1-yl)-1-piperidinecarboxylate hemisulfate sesquihydrate"	Yes			Marketed	"Migraine, Plaque psoriasis, Trigeminal neuralgia"	C28 H28 F2 N6 O3 . 0.5(H2 S O4) . 1.5(H2 O)	Calcitonin gene-related peptide receptor antagonists	"Bristol-Myers Squibb (Originator), Bristol-Myers Squibb (Owner), Genpharm Services (Market Licensee), Medison Pharma (Market Licensee), Biohaven Pharmaceuticals (Licensee), BioShin (Sub-licensee), Catalent (Technology Provider), Biohaven Pharmaceutical Holding Company (Collaborator), Weill Cornell Medicine (Collaborator)"		PO				N2C (Anti-Migraine Preparations)	N02C (Antimigraine Preparations)	"BHV3000, BMS927711, NURTEC ODT, Rimegepant orally disintegrating tablet Biohaven Pharmaceuticals, Rimegepant sulfate Biohaven Pharmaceuticals, Rimegepant Zydis ODT Biohaven Pharmaceuticals, Rimegepant Zydis oral fastdissolve tablet Biohaven Pharmaceuticals"			25/03/2021	"Advances in the Treatment of Nausea and Migraine, Pain, Skin Disorders"			NURTEC ODT	no		no							https://adis.springer.com/drugs/800034984?userId=52029392&bpIds=3004037004&checksum=25747884193543f5093030e18861d68e7694c84b-1617045530476-e35b53f90432dbc64e8a01cce744ac5bbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800036477	Tramadol/type-5 cyclic nucleotide phosphodiesterase inhibitor - Aytu BioPharma			No			No development reported (Preclinical)	"Premature ejaculation, Erectile dysfunction"		"Opioid mu receptor agonists, Serotonin uptake inhibitors, Type 5 cyclic nucleotide phosphodiesterase inhibitors"	"Ampio Pharmaceuticals (Originator), Aytu BioPharma (Owner), Daewoong Pharmaceutical (Licensee)"		PO				"G4E (Erectile Dysfunction Products), G4X (All Other Urological Products), N2A (Narcotics)"	"G04B-E (Drugs used in erectile dysfunction), G04B-X (Other urologicals), N02A-X02 (Tramadol)"	"PDE5 inhibitor/tramadol Aytu BioPharma, Tramadol/PDE5 inhibitor Aytu BioPharma, Type5 cyclic nucleotide phosphodiesterase inhibitor/tramadol Aytu BioPharma, Zertane/PDE5 inhibitor, ZertaneED"			24/03/2021	Men's Health		Ampio Pharmaceuticals |  | Unspecified |  | 17 Jan 2012		no		no							https://adis.springer.com/drugs/800036477?userId=52029392&bpIds=3004037004&checksum=4b0db79c17aaff8e7eb084af5b7622eb3e26e2d7-1617045530478-bb6f7e50af8b4dafc7bb60b108f64cbbbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800053235	Gabapentin/trazodone hydrochloride - Angelini		"2-[1-(aminomethyl)cyclohexyl]acetic acid / 2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one;hydrochloride"	No			Phase II	Diabetic neuropathies	C9 H17 N O2 . C19 H23 Cl2 N 5O	"Alpha adrenergic receptor agonists, CACNA2D1 protein modulators, GABA receptor agonists, Serotonin 2A receptor antagonists, Serotonin 2C receptor antagonists, Serotonin uptake inhibitors"	"Angelini Group (Originator), Angelini Group (Owner)"		PO				N2B1 (Prescription-bound non-narcotics and anti-pyretics)	"N02B-G (Other analgesics and antipyretics), N03A-X12 (Gabapentin), N06A-X05 (Trazodone)"	"Gabapentin/trazodone Angelini, Trazodone hydrochloride/gabapentin FDC Angelini, Trazodone/gabapentin FDC Angelini"			24/03/2021	"Diabetes, Pain"				no		no							https://adis.springer.com/drugs/800053235?userId=52029392&bpIds=3004037004&checksum=efda31bc7adab9bb70e1a2127a1168cc180f6cb7-1617045530479-4d016a8f7571a82437c2db87a494c39bbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800042233	Zolmitriptan transdermal - Zosano Pharma	139264-17-8	S-4[[3-[2-(Dimethylamino)ethyl]-1H-indol-5-yl]methyl]- 2-oxazolidinone	No			Preregistration	"Migraine, Cluster headache"	C16 H21 N3 O2	"Serotonin 1B receptor agonists, Serotonin 1D receptor agonists"	"Zosano Pharma (Originator), Zosano Pharma (Owner), EVERSANA Life Science (Market Licensee)"		Transdermal				N2C1 (Antimigraine triptans)	N02C-C03 (Zolmitriptan)	"ADAMZolmitriptan, C213 Zosano Pharma, M 207, Qtrypta, Triptan microneedle patch Zosano Pharma, Triptan patch Zosano Pharma, Triptan transdermal Zosano Pharma, Zolmitriptan Intracutaneous Microneedle System, ZP triptan Zosano Pharma, ZPZolmitriptan, ZPZolmitriptan Intracutaneous Microneedle System"			24/03/2021	"Advances in the Treatment of Nausea and Migraine, Drug Delivery Systems"		Zosano Pharma |  | Unspecified |  | 14 Mar 2019	Qtrypta	no		no							https://adis.springer.com/drugs/800042233?userId=52029392&bpIds=3004037004&checksum=ce30a6ded989b79fea677edbe5c61250068dc22c-1617045530482-9253dbc1c444de984a16d11b5ab4afebbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
